                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.50076,                0.51553,                 1.1041,                0.86224,                0.79522,                 0.8543,                 0.7301,                0.66376,                0.79696,                 1.1394,             0.00034108,             0.00034108,             0.00034108
                    108,                0.51216,                0.52339,                  1.113,                0.86414,                0.78127,                0.85003,                0.72332,                0.65419,                 0.8334,                 1.1304,             0.00033374,             0.00033374,             0.00033374
                    109,                0.51321,                0.52444,                 1.1303,                0.84807,                0.79232,                0.84419,                0.72666,                0.64452,                0.82657,                 1.1098,             0.00032641,             0.00032641,             0.00032641
                    110,                0.48452,                0.52097,                 1.0936,                0.85582,                0.80481,                0.85035,                0.72543,                0.64361,                  0.804,                 1.1124,             0.00031908,             0.00031908,             0.00031908
                    111,                0.48716,                0.50679,                 1.1028,                 0.8607,                 0.8131,                0.85648,                0.73625,                0.64152,                0.78713,                  1.106,             0.00031175,             0.00031175,             0.00031175
                    112,                0.50302,                0.51602,                  1.107,                0.84277,                0.80097,                0.84498,                0.72616,                0.64976,                0.82183,                 1.1122,             0.00030441,             0.00030441,             0.00030441
                    113,                0.49657,                0.53182,                 1.1112,                0.84764,                 0.7769,                0.84435,                 0.7222,                0.65658,                0.82373,                 1.1256,             0.00029708,             0.00029708,             0.00029708
                    114,                0.49675,                0.53073,                   1.11,                0.86597,                0.76608,                0.85228,                0.73201,                0.63841,                0.80759,                 1.1078,             0.00028975,             0.00028975,             0.00028975
                    115,                0.49223,                0.50725,                 1.1061,                0.85828,                 0.8142,                0.85555,                0.73195,                0.64633,                0.78213,                 1.1094,             0.00028242,             0.00028242,             0.00028242
                    116,                0.48064,                0.48349,                 1.0888,                0.86524,                0.79729,                0.86006,                0.73734,                0.64343,                0.76291,                 1.1075,             0.00027508,             0.00027508,             0.00027508
                    117,                0.48588,                0.50286,                 1.1084,                0.84913,                0.80367,                0.85471,                0.73376,                0.64253,                 0.7985,                 1.1078,             0.00026775,             0.00026775,             0.00026775
                    118,                0.47448,                0.47995,                 1.0849,                0.85176,                 0.7691,                0.84283,                0.72705,                0.64139,                0.82271,                 1.1061,             0.00026042,             0.00026042,             0.00026042
                    119,                0.47112,                0.49278,                 1.0841,                0.87446,                0.78333,                0.85662,                0.74013,                0.63416,                0.77998,                 1.1038,             0.00025309,             0.00025309,             0.00025309
                    120,                0.48843,                0.48898,                 1.0953,                0.84499,                0.78358,                0.85373,                0.73837,                0.63929,                 0.7832,                 1.0985,             0.00024575,             0.00024575,             0.00024575
                    121,                0.48886,                0.48282,                 1.0992,                0.88402,                0.77211,                0.85901,                 0.7437,                0.63328,                0.77082,                 1.0981,             0.00023842,             0.00023842,             0.00023842
                    122,                0.46817,                0.45806,                 1.0895,                0.88668,                0.76557,                0.86039,                0.73797,                0.64707,                0.78863,                 1.1077,             0.00023109,             0.00023109,             0.00023109
                    123,                 0.4885,                0.50803,                 1.1019,                  0.877,                0.77447,                0.85684,                0.73141,                0.65435,                0.79374,                 1.1238,             0.00022376,             0.00022376,             0.00022376
                    124,                0.48448,                0.47987,                 1.0972,                0.85003,                0.80611,                 0.8558,                0.73529,                0.63919,                0.77845,                 1.1063,             0.00021642,             0.00021642,             0.00021642
                    125,                0.47368,                0.46126,                 1.0884,                0.85105,                 0.8089,                0.85678,                0.73685,                0.63926,                 0.7836,                 1.1041,             0.00020909,             0.00020909,             0.00020909
                    126,                0.46753,                0.45796,                 1.0826,                0.86621,                0.79468,                   0.86,                0.73721,                0.64044,                0.79583,                 1.1111,             0.00020176,             0.00020176,             0.00020176
